amharic,english
"ይቅር በሉኝ, ኢሳ ሃን","Forgive me, Consul Han"
ግን አንስቶ ኖረን ብለን እናምናለን ብዬ አምናለሁ የከፍተኛ ገጸ ባህሪዎን ሰዎች ለማጣት,but l believe we can ill afford to lose men of your high character
እና እንደ ጓደኛ መናገር,And speaking as a friend
ከጎን የሚካሄደው ማን ነው? ከእርስዎ ጋር ለ ዓመታት ከእርስዎ ጋር,who's fought side by side with you for years
በጣም ደስ ይላል የማይቻል ድጋፍ,l will sorely miss the unshakable support
ሰጡት ሮያል ሆንግ ኮንግ ፖሊስ,you've given the Royal Hong Kong Police
እና ስለሆነም በሁሉም ብሪታንያዎች በመወከል,And so on behalf of all Brits
ማን ጋሻውን የያዙ ማን ነው? በሆንግ ኮንግ እኛ እናጣለን,"who have ever carried the shield in Hong Kong, we shall miss you"
ደስታን እንመኛለን,We wish you happiness
አዲሱን ልጥፍዎን ሲወስዱ በአሜሪካ ውስጥ,as you take up your new post in the United States
"ወይዛዝርት እና ገርሞኖች, ግፊቱ ሃን","Ladies and gentlemen, Consul Han"
ሃን እናመሰግናለን ቶማስ,"Thank you, Thomas"
"አሁን, ቶማስ እንደማይሄድ ታውቃላችሁ ይህንን ምሽት ቀላል ለማድረግ ቀላል ነው","Now, you know Thomas is not going to make this evening easy"
እኔ መቻል ደስ ብሎኛል እርስዎን ለመተው እና ሆንግ ኮንግ,l am pleased to be able to leave you and Hong Kong
ዛሬ ማታ ልዩ ስጦታ,with a special gift tonight
"በዚህ ምሽት, መርማሪ ተቆጣጣሪ","Earlier this evening, Detective Inspector Lee"
የእሱ ልዩ ተግባር አንድ ጊዜ እና ለሁሉም,and his special task force have once and for all
የጃቱኖ ወንጀለኛን ተዘርግቷል ድርጅቶች እና የተነገረ ቅርሶች,crushed the Juntao criminal organization and reclaimed artifacts
ከ ዓመታት ጀምሮ የቻይና ቅርስ,from years of China's heritage
ይህ ህልሜ የነበራችሁት ቅርስ ነው,This is the kind of legacy I dreamt about
ሆንግ ኮንግ ለዘላለም,Hong Kong forever
ወደ ሆንግ ኮንግ ለዘላለም,To Hong Kong forever
ሰው ሞኝ ሞኝ! ገሃነም ከእኔ ጋር ሄድኩ!,Stupid fool! Get the hell out of my way!
"ሰው, እብድ ነህ?","Man, are you crazy?"
"ክሊኒ, ሰው ማን ነው?","Clive, what's up, man?"
ዘግይቷል. ህ?,You're late. Huh?
"ዘግይቶ? አዎ, ዘግይተሃል","l'm late? Yeah, you're late"
እየሄደህ ሰው ነህ. እየጠበቀ ነበር በጀርባ ውስጥ ከአንድ ሰዓት በላይ,"You're late, man. l've been waiting in the back for over an hour"
በእጅዋ ውስጥ ነበር. ከጀርባው ውስጥ ነገህ,"l was in the diner. Man, l told you in the back"
ይህን አሽቆርጥ ያደርግ ይሆን?,Think l would do this shit out front?
እንደገና መሰባበር እኔ በእድጓዳ ውስጥ አልነበሩም,l'm gonna get busted. You weren't in the diner
በ በስተጀርባ ምንም እንኳን ግድ የለውም,I said in the back of the d It don't even matter
"ዘግይቼ ዘግይቼያለሁ. ይህንን እናድርግ. ምን, ጠመንጃ ምንድነው?","I'm late, you late. Let's do this. What's that, a gun?"
ያንን ያስወግዱ. በዚህ አመት ምን ያህል ገድለዋል?,Put that away. How many people you killed this year?
"ሰው, ሰው. እንስራው። በል እንጂ። እንደገና አይዘገዩም","Stop it, man. Let's do it. Come on. Don't be late again"
እኔ ዘግይቼያለሁ. በል እንጂ። ያገኘነው ምንድን ነው?,I ain't gonna be late. Come on. What we got?
ያ ጥብቅ ነው. ያ ቆንጆ ነው. ያ ጥሩ ነው. ያ ምንድነው፧,That's tight. That's beautiful. That's nice. What's that?
ያ . ያ ሲ ?,That's C . That's C ?
ችግር የሌም። እያየሁ ነበር ለዚህ ሹራብ ሁሉ,No problem. I been looking everywhere for this shit
"ሰው, እንዴት የሆነ ሲ እንዴት ታገኛለህ?","Man, how the hell you find some C ?"
"ምን እንደሚሰማኝ አታውቅም, ሰው. ይህንን ሹራም እንኳን ማግኘት አልቻለም","You don't know how you make me feel, man. The lraqis can't even get this shit"
ይህንን ከየት ያገኙታል? ትኩስ ትኬት ነው,Where'd you get this from? lt's a hot ticket
ካርተር ምን ያህል ደስተኛ እንደሆነ አታውቅም አደረገኝ,You don't know how happy you made me
"ምን እንደሚፈልግ አግኝተሃል. ሰው ሆይ, ሰውዬ እንድሄድ ፍቀድልኝ","You got what l want. Let me go get that money, man"
ከራስዎ በላይ እጆችዎን ከራስዎ በላይ ያድርጉት. አሁን ያድርጉት,OFFlCER Put your hands above your heads. Just do it now
እዚህ ምንም ችግር የለም. እኛ ከኛ ጋር ለምን ይገናኛል?,Ain't no problem here. Why y'all messing with us for?
"እሺ, ቀላል ይውሰዱት","All right, take it easy"
ያንን ማድረግ አይፈልጉም. አዎ እፈፅማለሁ።,"You don't wanna do that. Yes, I do"
"እሱ, እሱ አይደለም. እሱ እየተጫወተ ነው. አይጫወትም","No, he don't. He's playing. No, I ain't playing"
እሱ መኮንን ነው. አይ አይደለሁም። አልጫወትኩም!,"Yes, he is, officer. No, I'm not. l'm not playing!"
ጠመንጃውን! የአጎቴ ልጅ ነው. እያወራን ነው,Drop the gun! He's just my cousin. We're just talking
ወደ መኪናው ተመልሰው ይውጡ,Get back in the car and leave
"ያንን ማድረግ አልችልም,","Can't do that, buddy"
ጭንቅላቱን በሙሉ በመኪና ማቆሚያ ቦታ ላይ እፈቅዳለሁ!,I'll blow his head all over the parking lot!
"በመኪናው ውስጥ, የተወሰኑ ዶናት ይግዙ! ተመልከት? አደረከው",Get in the car and buy some doughnuts! See? You made him mad
እሱን እንዳነጋገር ፍቀድልኝ. ደህና፧,Let me just talk to him. All right?
ሄይ! አይንቀሳቀሱ!,OFFlCER Hey! OFFlCER Don't move!
ደህና። ደህና። ሁሉም ነገር አሪፍ ነው,All right. All right. Everything cool now
ወረደ. ጠመንጃው. አሁን በመኪናው ውስጥ ተመልሰው ይውጡ,He down. The gun down. Now get back in the car and just leave
"በራስዎ ላይ እጆችዎን ያስገቡ! ይህ ነገር አሪፍ, መኮንን","Put your hands on your head! Everything's cool, officer"
አሁን ያድርጉት!,Do it now!
"ሰው, አቁም! ግንድ ውስጥ ገባኝ!","Man, stop it! l got C in the trunk!"
"ክሊፕ, ሰው ምን እንደሆነ መገመት","Clive, guess what, man"
ልነግርህ ረሳሁ. እኔ . . .,I forgot to tell you. I'm L.A.P.D
በቁጥጥር ስር ውለዋል,You under arrest
"ሃን ሶኦ ንግ, ና, እንጓዛለን","Soo Yung, come on, we're gonna be late"
ምንድን ነው? ቲሌሌሊፎን. ቻይና,What? Telephone. China
", እወድሻለሁ. መልካም ቀን ይሁንልህ።","Soo Yung, I love you. Have a nice day"
ከትምህርት ቤት በኋላ ወደ ቤትዎ ትሆናለህ?,Will you be home after school?
ጣፋጭ እና ጥሩ ይመስላል,Talking sweet and looking fine
እኔ በ ውስጥ ኪ.ሜ,I get kinda hectic inside
"ህፃን, እኔ ወደ አንተ ገባህ","Baby, I'm so into you"
"ዳርሊንግ, የምታውቁ ከሆነ","Darling, if you only knew"
በአዕምሮዬ ውስጥ የሚፈሱ ነገሮች ሁሉ,All the things that flow through my mind
"ሴት ላይ ተንሸራታች ግን ልክ ጣፋጭ, ጣፋጭ ቅ ት, ህፃን ነው","But it's just a sweet, sweet fantasy, baby"
ሶኖ ትመጣለህ እናም ትወስደኛለህ,You come and you take me
በቅኝቶችዬ ውስጥ በጣም ጥልቅ,So deep in my daydreams
አንድ ችግር አለ?,"Is there a problem, officer?"
በቃ ፍጥነት,Just rush hour
ደህንነት ውስጥ? አዎ,Security's in place? Yes
እርግጠኛ ነዎት ሁሉም ኤግዚቢሽኖች በዚህ ሳምንት መጨረሻ ዝግጁ ይሆናል?,You're sure all the exhibits will be ready this weekend?
አዎን ጌታዪ። የመክፈቻ አስተያየቶችዎ ለ ተይዘዋል,"Yes, sir. Your opening remarks are scheduled for"
"መልካም. የሽኑኝ, ቆላማ ሃን","Fine. Excuse me, Consul Han"
እኔ ጨረር ነኝ የፌዴራል የምርመራ ቢሮ,I'm Warren Russ with the Federal Bureau of Investigation
"ይህ ወኪል ዊትኒ ነው. በግል, ጌታዬዎ ውስጥ ከእርስዎ ጋር መነጋገር አለብን","This is Agent Whitney. We need to speak with you in private, sir"
ይህ ከባድ እንደሆነ አውቃለሁ,I know this is difficult
ግን እንድታውቁ እፈልጋለሁ ልጅሽን እንመለሳለን,but l want you to know we'll get your daughter back
"አዎ, ግን በሕይወት እንድትመለስ ታደርጋለህ?","Yes, but will you get her back alive?"
"በዓለም ውስጥ ምርጥ ወኪሎች አሉን በዚህ ቤት, በእነዚያ ጎዳናዎች ላይ","We have the best agents in the world in this house, on those streets"
እኔ ከአገሬዎች መካከል አንዱን ለመርዳት እፈልጋለሁ,I would like one of my people to help
"እስቲ ሳያ, እሰጥሃለሁ, ኤፍ.ቢ. ይህንን ከፍተኛ ቅድሚያ ይይዛል","Let me assure you, consul, the FBI considers this a top priority"
በዚህ ጉዳይ ላይ ብዙ ሰዎች አሉን,We have plenty of people on the case
ሚስተር ሩስ እኔ አሜሪካዊ አይደለሁም,"Mr. Russ, I am not an American"
"ሴት ልጄ, አሜሪካዊ አይደለችም","My daughter, she is not an American"
"እሺ, ጌታዬ, ግን በአውሮፕላኑ ላይ ቀድሞውኑ ነው","l understand that, sir, but He's already on the plane"
እሱን ትይዛለህ በተመሳሳይ አክብሮት,I trust you will treat him with the same courtesy
እኔን እንዳየኸኝ,as you have shown me
አሥር ሰዎች ወደ ውጭ ዘለሉ,Ten people jumped out
እነሱን መያዝ ጀመርኩ. በሁሉም ቦታ መወርወርቸው,I started handling them. Throwing them everywhere
ከዚያ ሁለት ደደብ ተባዮች ከዚያ የትም ቦታ አልወጣም,Then two stupid cops came out of nowhere
ሁሉንም ነገር ተሽከረከረ. ህይወታቸውን ማዳን ነበረበት,messed everything up. Had to save their life
በወረቀቱ ውስጥ ሊሆን ይችላል. እዚያ የለም. የሆነ ሆኖ ህይወታቸውን እቆያለሁ,"It might be in the paper. It ain't in there. Anyway, I save their life"
ቦምብ ለማግኘት መሮጥ ጀመርኩ,I start running to get the bomb
ያለ እኔ እንደሄዱ ማመን አልችልም. በኋላ ወደ ኡአል ያነጋግሩ ደህና ነው?,"l can't believe you went without me. l'll talk to y'all later, all right?"
ከስራ በኋላ ምርጡን ክፍል እነግርዎታለሁ,I'll tell you the best part after work
ለዚህ ነው ማንም ሰው ከእርስዎ ጋር የማይሠራው,This is why nobody will work with you
በ ውስጥ ብቸኛው ኮፒ ምን እንደሆንዎት ያለ አጋር ሳይኖር ዲፓርትመንት,why you're the only cop in the department without a partner
"ጆንሰን, በመጀመሪያ, ተመልከት, ከእኔ ጋር አንድ ቀን መውጣት ከፈለጉ","Johnson, look, first of all, if you wanna go out on a date with me"
መጠበቅ አለብዎት እንደ ሌሎቹ ሴት,you have to wait like every other woman
"እና ከሁሉም ሰከንድ, እኔ ብቻዬን ሠርቻለሁ","And second of all, l work alone"
ምንም አጋር አያስፈልገኝም እና በጭራሽ ጓደኛ የለውም,I don't need no partner and l ain't gonna never have no partner
ዲድ ኮጃክ አጋር ነበረው? የሰባው ሰው,Did Kojak have a partner? The fat guy
እሱ በጭራሽ ከቶ አልነበረም. ኮምበርቦ?,"He wasn't never with him. Look, did Columbo?"
ካፒቴን አዘዘኝ ከእርስዎ ጋር ለመሄድ,Captain ordered me to go with you
"ስለፈለጉት ምትኬ, ግን እንደገና እንደገና","because you needed backup, but once again"
ነክተኸኛል እና ራስህን ተናወጠች,you screwed me and screwed yourself
"እነሆ, ጆንሰን, እዚያው አደገኛ ነው. ከጠረጴዛው በስተጀርባ መሆን ለእርስዎ የበለጠ ደህና ነው","Look, Johnson, it's dangerous out there. It's safer for you to be behind the desk"
መሆን ነበረብን በተመሳሳይ ቡድን ላይ,We were supposed to be on the same team
"ቡድን? ጆንሰን, ይህ . . . . ነው","Team? Johnson, this is the L.A.P.D"
እኛ በጣም የተጠላዎች በነጻው ዓለም ውስጥ,We the most hated cops in the free world
እማዬ ታፍሬ ነበር. ለአደንዛዥ ዕፅ አከፋፋይ ለሁሉም ሰው ይነግረዋል,My mama ashamed of me. Tells everybody l'm a drug dealer
ምንም ቡድን የለም. ይህ ለእኔ ጉድለት ነው. ከኋላዎ የመተውህ እቅድ ላይ ነኝ,Ain't no team. This is a pit stop for me. I'm on the verge of leaving you behind
"በእውነቱ, በመሬቱ ላይ ነዎት መታጠብ","Actually, you're on the verge of being suspended"
መልካም ቀን ይሁንልህ።,Have a nice day
አንድ ሰው ነግሮሃል እኔ ታግድኩ ነበር?,Somebody told you I was being suspended?
መጫወት አቁሙ,"Quit playing, girl"
ሲጫወቱ አውቃለሁ,I know you playing
ይህ ችግር ነው. ያ ሁሉም ፍላጎት ነው,This is a problem. That's all l need
አንዳንድ የባዕድ አገር ሰው ጭንቅላቱን ይደነግጣል እናም ዓለም አቀፍ ክስተት መፍጠር,some foreigner getting his head blown off and creating an international incident
ምን ማድረግ አለብን? እሱ እየሄደ ነው,What can we do? He's on his way
ወደ መስክ ቢሮው ይደውሉ. እንዲልክ ያድርጉ,Call the field office. Have them send a rookie
እኛ ይህንን ሰው እንይዛለን በጥቂት ቀናት አካባቢ,We'll have him escort this guy around a few days
"መሪዎችን ለመከተል በማስመሰል, አንዳንድ ዕይታዎች አሳዩት","pretend to follow leads, show him some sights"
. ከመንገዱ ዳር ያድርጉት. ለአንዱ ለወንጃችን ማድረግ ትፈልጋለህ?,...keep him out of our way. You want to do that to one of our men?
ምን ትጠቁማለህ?,What do you suggest?
"ደህና, እስካለን ድረስ አንድ ሰው ማዋረድ","Well, as long as we're gonna humiliate someone"
ምናልባት ምናልባት ምናልባት ሊሆን ይችላል . . .,might as well be L.A.P.D
ምንም እንኳን አንድ ተጨማሪ ሰው ቢኖረውም እንዲህ ዓይነቱን የብልት ሥራ ሥራ ይፈልጋሉ?,"Even if l had an extra man, who would want such a bullshit assignment?"
"ደህና, ለእኔ ውርደት ነው","Well, it's a disgrace to me"
ወደ መምሪያውዬ ውርደት ነው,It's a disgrace to my department
ውርደት ነው,It's a disgrace to
"ዳን, አንድ ሰው እየላክሁ ነው","Dan, I'm sending someone right over"
"ካፒቴን, እንዳነበቡ አውቃለሁ ወረቀቱ ግን እነሱ ውሸት ናቸው","Captain, I know you read the paper, but they lying"
እኔ እንደዚህ ያለ ነገር አላደርግም. ታውቃለህ ወረቀቱ እንዴት እንደ ሆነ. እነሱ አንድ ታሪክ ይፈልጋሉ,I wouldn't do nothing like that. You know how the paper is. They just want a story
ሁለት መኮንኖች በጥይት ተመታ. አንድ ሰው ሮዝ አጣ,Two officers were shot. One man lost a pinkie
ግን ማንም አይሞትም,But didn't nobody die
ግማሽ ማገጃ አጠፋች. . ብሎክ ተነስቷል,You destroyed half a block. That block was messed up
ብዙ ማስረጃ አጡ. ትንሽ ቀረን,You lost a lot of evidence. We got a little left
ያደረግከው ነገር አደገኛ ነበር እና ሙሉ በሙሉ ከመደበኛ ጋር,What you did was dangerous and completely against policy
እና ያ ብቻ አይደለም,And not only that
ጥሩ ሥራ ሠራህ,you did a good job
እዚህ ያለው እያንዳንዱ ምስል በጣም የሚያሳይ ነው,Everyone here is so image conscious
ሁሉም ሰው በጣም ፈራ ከገዛ አምላኪነት ጥላ ውስጥ,Everybody's so afraid of their own goddamn shadow
ከኤል.ኤ.ኤ.ፒ. ጋር መገናኘት ጥሩ ነው በመስመር ላይ ለመጣል ፈቃደኛ የሆነ,It's nice to meet an L.A. detective who's willing to lay it on the line
"ካፒቴን, ያ ስሜት ይሰማዎታል. ያ ነው ለሁሉም ሰው ለመናገር እየሞከርኩኝ ነው","Captain, that's the same way l feel. That's what I've been trying to tell everybody"
"ብዙ ጊዜ, መፍቀድ አለብን አጠቃላይ የህዝብ ታውቃለች","Every so often, we have to let the general public know"
አሁንም ማፍሰስ እንችላለን,that we can still blow shit up
አንቺ አምላኪ. ያ ብቸኛው መንገድ ነው,You goddamn right. That's the only way l work
ሚሜ. እኔ ታግ ል?,Mm. So I ain't getting suspended?
እየቀለድክ ነው? ለምን እንደ እኔ አላውቅም,Are you kidding? l don't even know why l said that
የቻይና ዲፕሎማት ሴት ልጅ,The daughter of a Chinese diplomat
"ዛሬ ጠዋት ጠለፈ, እናም በጉዳዩ ላይ ይፈልጋሉ","was kidnapped this morning, and they want you on the case"
ምኞቴ ነው? ልክ ትክክል ነው,FBl want me? That's right
ስፕሬስ ውሸት. አትዋሽ,Stop lying. l don't lie
እውነት ነው. እሱ እውነቱን መናገር,Tell the truth. l'm telling the truth
ካፒቴን አመሰግናለሁ. ማን!,"Thank you, captain. Whoo!"
"እንኳን ደስ አለዎት, ካርተር. ወደ ትር ት እየሄዱ ነው","Congratulations, Carter. You are going to the show"
እርስዎ ከንቲባዎ ጋር ያደርጉታል. ማን ነው. አዎ እርስዎ አልነበሩም,l'm gonna make you mayor. Whoo. l'd rather you didn't
"ሄይ, አዳምጡ! ማንም እኔን የሚፈልግ ከሆነ","Hey, listen up! lf anybody need me"
"እህስ መሥራት ለ ትልቅ, ትልቅ ጉዳይ!","l'm gonna be working a big, big case for the FBl!"
ዮ. ከእነዚህ የጆሮ ማዳመጫዎች ውስጥ አንዱ እፈልጋለሁ ወዲያውኑ ደህና?,"Yo. l need one of those earpieces immediately, all right?"
"ሄይ, እንዴት ነህ?","Hey, how you doing?"
የ ሰራተኞች እፈልጋለሁ መዝገቦች መሻገሪያዎች ምልክት ያድርጉ,I want consul's personnel records cross checked
ማድረግ ከቻሉ ይመልከቱ ማንኛውም ግጥሚያዎች ወይም ግንኙነቶች,See if you can make any matches or connections
"እሺ, ወንዶች, ምን አገኘን?","Okay, boys, what do we got?"
የሰራተኞች መዝገቦችን ፈትተናል?,Have we checked the personnel records?
"እሱ ማን እንደሆነ ማወቅ እፈልጋለሁ መነጋገር, ጋር መገናኘት","I wanna know who's he been talking with, dealing with"
በል እንጂ። ታሪኩን ስጠኝ. ማናቸውም ጥያቄዎች? ማንኛውም የጣት አሻራዎች?,Come on. Give me the story. Any demands? Any fingerprints?
ለሥራዎቹ ቃለ ምልልስ አድርገናል?,Have we interviewed his staff?
"ዊትኒ, ይህ ማነው?","Whitney, who is this?"
የዛን ቅጂ ስጠኝ,Give me a copy of that
"ጄምስ ካርተር, ፍራፍስ","James Carter, FBl"
"ዋረን, እሱ እዚህ አለ ለተለየ ምደባ","Warren, he's here for the special assignment"
ላንተ እንዲኖርዎት ያድርጉ. ለዚህ ረዥም ጊዜ ተነስቷል,Good to have you. Waited a long time for this
እናንተ ሰዎች እርግጠኛ ነዎት ረጅም ጊዜ ይወስዳል ማመልከቻውን ለማስኬድ,You guys sure do take a long time to process an application
"ደህና, ካርተር, የእርስዎ ልዩ ሥራ","Well, Carter, your particular assignment"
"አሁን, ለምን እና እኔ አይሆንም በእግር እንጓዛለሁ እና እሞታለሁ?","Now, why don't you and I take a walk and I'll fill you in?"
አልገባህም. ይህ ህልሜ ነው,You don't understand. This is my dream
በጣም ደስ ብሎኛል ከ ጋር ስለ መሥራት,I'm very excited about working with the FBl
"ደህና, ደስ ብሎኛል. ስሙ, ስሙ ነው","Well, l'm glad. Listen, his name is Lee"
እና ዳይሬክተሩ ይህንን ይመለከታል ቅድሚያ የሚሰጠው,And the director considers this a top priority
"አክብሮት የለውም, ግን እሱ ብቻ ነው እህስ በመንገዳዬ ውስጥ ገባሁ","No disrespect, but he's only gonna get in my way"
"ሁኔታውን አያስተካክለውም, እኔ ብቻዬን መሥራት አለብኝ","If l'm handling the situation, I'm gonna have to work alone"
"ካርተር, እሱ ሁኔታው ነው","Carter, he is the situation"
መሆን አለበት አለመግባባት መሆን አለበት,Must be Must be a misunderstanding
ትንሹን ልጅ ረሳ. ምደባዎ ሊ ነው,Forget the little girl. Your assignment is Lee
ማን ነው? ያ ምን ሥራ ነው?,Who is Lee? What assignment is that?
ሊ የባዕድ አገር መርማሪ ነው እና የዊውላ ጓደኛ,Lee is a foreign detective and a friend of the consul's
"አሁን, ከእይታ እንዲያውቁት የእርስዎ ስራ ነው ከአደጋ ተለይተው ያውቃሉ?","Now, it's your job to keep him out of sight and away from danger, you understand?"
"ህጻን እንዲፈልጉኝ እንደሚፈልጉኝ አውቃለሁ, ግን ያንን አላደርግም","I understand you want me to babysit, but I don't do that"
"ወደዚህ ትልቁ ሥራ እዚህ መጣ. እውነቱ ይህ ነው, ይህ የ ሥራ ነው","l came here for the big assignment. The truth is, this is an FBl operation"
እና ከ ጋር ምንም እገዛ አያስፈልግዎትም . . . . ወይም አንዳንድ የቺንግስ ኮፒ,and l don't need any help from the L.A.P.D. or some Chungking cop
"ማን, ማን, ማን ነው, ማን. ያዝ, ያዝ","Whoa, whoa, whoa. Hold, hold"
ለምን ወንዶችዎን አይጠቀሙም ለዚህ ከፍተኛ ቅድሚያ ጉዳይ?,Why not use your men for this top priority case?
ሄሮፓ ሲኦል ከእሱ ጋር ማድረግ ነበረብኝ?,The hell I supposed to do with him?
ግድያ አልሰጥም. አይፈልግም እሱን ወይም እርስዎ ይህ ነገር መፍትሄ እስኪችል ድረስ ይመልከቱት,I don't give a damn. l don't want to see him or you till this thing is resolved
አሁን አውሮፕላኑ በአንድ ሰዓት ውስጥ መጣ,"Now, his plane arrives in an hour"
"ማድረግ እንፈልጋለን ጥሩ ስሜት, ካርተር","We want to make a good impression, Carter"
ወደ አሜሪካ የመጀመሪያ ጉዞው ነው,It's his first trip to America
ይህ የበመችት ነው!,This is bullshit!
እባክዎን እንግሊዝኛ እንደሚናገሩ ይንገሩኝ,Please tell me you speak English
እኔ የመርጃ ካርተር ነኝ,I'm Detective Carter
ይህንን ሹት ማመን አልችልም!,I cannot believe this shit!
"በመጀመሪያ, የበሬነት ምደባ አገኘሁ አሁን ሚስተር ሩዝ አ ሮኒ","First, I get a bullshit assignment now Mr. Rice A Roni"
አሜሪካዊ አይናገርም,don't even speak American
ሰው ሆይ! እዚህ መጓዝ,"Come on, man. My ride over here"
ቦርሳዎን በጀርባ ውስጥ ያስገቡ,Put your bag in the back
ቦርሳዎን በጀርባ ውስጥ ያስገቡ!,Put your bag in the back!
"አይ, አይሆንም, አይሆንም. በጀርባ ውስጥ የራስዎን ሹት አደረጉ!","No, no, no. You put your own shit in the back!"
እኔ የሰማይ ነው,I am not a skycap
"እኔ ነኝ, ተረድተዋል?","I'm FBl, you understand?"
"ካፒቴን, ይህ አስቂኝ ነው ብዬ አላምንም","Captain, I don't think this is funny"
"አይ, እኔ ከባድ, ካፒቴን ነኝ. አልጫወትኩም. ለ ይንገሩዎት ስህተት ሰርተዋል","No, I'm serious, captain. I ain't playing. Tell the FBI you made a mistake"
"ያንን ማድረግ አልችልም, ካርተር","I can't do that, Carter"
እርግጠኛ ነኝ እና ሚስተር ሊ አንድ ላይ ጥሩ ጊዜ ይኖራቸዋል,I'm sure that you and Mr. Lee will have a nice time together
"አስጠኝኩህ, እርስዎ በተሻለ ሁኔታ ይደውላሉ ወይም ኤል አህያውን በፓና ዌፕ ላይ ጣለው","I'm warning you, you better call the FBl or l drop his ass at Panda Express"
"ይህንን ጉዳይ ጣልሻት, ታግደዋል ያለ ክፍያ ለሁለት ወራት","You drop this case, you're suspended for two months without pay"
"ሁሉም ትክክል, ደህና, ሊረሱ ይችላሉ ከዚያ ከንቲባ ስለ መሆን","All right, well, you can forget about being mayor then"
"እንኳን ደስ አለዎት, ካርተር. ይመስላል በመጨረሻም አጋር አጋር አጋርተዋል","Congratulations, Carter. Looks like you finally got yourself a partner"
አንድ ትንሽ ሐምራዊ ተናወጠ እና ሁሉም ሰው እየገሰገሰ ነው,One little pinkie get blowed off and everybody tripping
ሊሄዱ ከሚችሉት ቦታዎች አንዱ ነው,That's one of the places you can't go
ያ ትንሽ ልጅ ነው?,That's the little girl?
አዎ ይህ እውነተኛ አስቂኝ ነው ብለው ያስባሉ. ካርተርን ለታላቁ የተመደቡ ጉዳይ ይስጡ,Y'all think this is real funny. Give Carter the big G classified case
ይህንን ጉዳይ እፈታለሁ,I'll solve this case myself
ግን እኔ ላሳይዎት እፈልጋለሁ የሆነ ነገር በመጀመሪያ. ታውቁ?,But l wanna show you something first. Look familiar?
"ልክ እንደ ቤት, አይደለም? ተመልከት. ልክ እንደ ቤት","Just like home, ain't it? Look. Just like home"
"እኔ ወደ ቻይና በጭራሽ አልሆንም, ግን እንደዚህ ይመስላል","I ain't never been to China, but it probably look like this"
የኮከብ ካርታዎች! የኮከብ ካርታዎን ያግኙ!,Star maps! Get your star maps!
"እነሆ, እነሆ, ዮሐንስ ዌይን","Look, look, look, John Wayne"
ዮሐንስ ዌይ? ጆን ዌይን ያውቃሉ? ዮሐንስ ዌይ,John Wayne? You know John Wayne? John Wayne
