amharic,english
"ካርተር አዎ, ጆን ዌይን, ሰው. ከዱክ ጋር አብረው ይንዱ","Yeah, John Wayne, man. Hang out with the Duke"
እመለሳለሁ። ከአጎቶችዎ አንዱን ማየት ይችላሉ,I'll be back. You might see one of your cousins
ቶሎ መለሳለሁ። ጠንከር እነሱን ያግኙ እና ያዙ!,Be right back. Find them and stalk them!
ያግኙት እና ያነጋግሯቸው! የኮከብ ካርታዎች!,Find them and stalk them! Star maps!
"እዚህ! የኮከብ ካርታዎች, ሰዎች!","Right here! Star maps, people! Stucky"
አድራሻውን ሚካኤልን አግኝተዋል ጃክሰን ቤት? በጭራሽላንድ?,You got the address to Michael Jackson's house? Neverland?
ሥራዬን መምጣት አይችሉም! ያ ትንኮሳ ነው!,You can't be coming around my job! That's harassment!
እርስዎ እርስዎን መመርመር. አሁን ሙሉ በሙሉ ህጋዊ ህጋዊ ህጋዊ ነው. የኮከብ ካርታዎችን እሸጣለሁ,l'm just checking up on you. l'm fully legit now. I'm selling star maps
"ካርተር አዎ, አህያዬን ህጋዊ","Yeah, legit my ass"
እርስዎ እና የእስያ የወንጀል ጓደኞችዎ ስለ ማውራት? ስለ ጠላፊው ማወቅ ይወቁ?,What you and your Asian gang friends talking about? Know about a kidnapping?
ምንም አላውቅም,I don't know nothing
ከእነሱ ውስጥ አንዱን ስጠኝ,Give me one of them star maps
ዶላር ምን ማለት እንደሆነ ተረድ?,"for , understand what l mean?"
"እሺ, ሰው. ስለ ምንም ጩኸት ምንም አላውቅም","All right, man. I don't know nothing about no kidnapping"
"ግን ይህ ዱዳ የጦር መሳሪያዎች, ፈንጂዎች እና ሰዎች","but this dude's buying firearms, explosives, and people"
... እንደ ጦርነቱ እየጀመረ ነው. ስም?,...like he's starting a war. His name?
አታውቅም. አታውቅም?,l don't know. You don't know?
"ለ , አላውቅም","For , l don't know"
አንድ ነገር ንገረኝ. ለ ዶላር ምንም አያውቅም,You better tell me something. Don't know nothing for
"ተጣብቃ, አታድርግ","Stucky, you don't"
ምንም አልነገርዎትም! እኔ!,l didn't tell you nothing! Lee!
በዚህ አውቶቡስ ላይ ምን ትሠራለህ?,What the hell you doing on this bus?
ከእርስዎ ጋር በመጫወት ላይ ያስቡ?,Think l'm playing with you?
ከእርስዎ ጋር በመጫወት ላይ ያስቡ? እኔ ከአንተ ጋር መጫወቴ አይደለም. ቁጭ ይበሉ,Think l'm playing with you? I ain't playing with you. Sit down
ደህና። ደህና ነው,All right. lt's okay
ፎቶግራፍ አንሳ. ደህና ነው. አንድ ደቂቃ ይጠብቁ,Take a picture. It's okay. Wait a minute
ምንድን? ከመንገዱ ይውጡ! ተመልከት! ተመልከት!,What? Get out of my way! Watch out! Watch out!
. ይህን አውቶቡስ አቁም,FBI. Stop this bus
"አባዬ ሄይ, ልጆች, ወደዚህ ይመለሱ. ቁጭ ይበሉ","Hey, kids, get back in here. Sit down"
", ይህን ሞተር ብስክሌት እፈልጋለሁ. በጭራሽ።","FBl, I need this motorcycle. No way"
ወዴት ትሄዳለህ ብለው ያስባሉ? በዳው ላይ ለመቆየት አልፈልግም?,Where you think you're going? Didn't l say to stay by the Duke?
"አዎ, ምን እያደረጉ ነው ብለው ያስባሉ? የራስዎን ንግድ ያስገቡ. በመኪና ውስጥ ይቆዩ","Hey, what do you think you're doing? Mind your own business. Stay in the car"
ሄይ. ምን እየሠራህ ነው፧ እየሞከረ ነበር ወዴት እንደምትሄድ ለማወቅ ሰው,"Hey. What you doing? l was just trying to find out where you was going, man"
"እርስዎ ይመስልሽ ነበር? አይ, እዚህ ምን እየተከናወነ ነው?","You thought l was gonna shoot you? Hey, what's happening here?"
"ጠመንጃውን ወደታች ያስገቡ. ጠመንጃውን ወደታች ያስገቡ. ሰው ሆይ, ከአንተ ጋር መጫወቴ አይጫወትም","Put the gun down. Put the gun down. I ain't playing with you, man"
እኔ ከእርስዎ ጋር መጫወትን ያስባሉ? ማንቀሳቀስ,You think l'm playing with you? Don't move
ጠመንጃዎን ጣል ያድርጉ,Drop your guns
እኔ እንዴት እንደሆነ እያሳየነው ነው ከተጠረጠረ ተጠርጣሪ ጋር ጠመንጃ ለመውሰድ,I'm just showing him how to take a gun from a suspect
እንግሊዝኛ ተናጋሪው በድንገት ትናገራለህ?,All of a sudden you speaking English?
"ትንሽ. ትንንሽ, አህያዬ. ዋሸኝ","A little. A little, my ass. You lied to me"
የቤጂንግ አህያዎን አሁን እቆያለሁ,Assume I kick your Beijing ass right now
እኔ ከአንተ ፈራሁ. በጣም ብልህ ሹራብ እንደሚያውቁ አውቃለሁ,I ain't scared of you. I know you know that tricky shit
እኔ ለግምገማዎ ተጠያቂ አይደለሁም,I'm not responsible for your assumption
እርስዎ በተሞሉ ትዊዎች ተረድተዋል? በ የተሞላ,"You full of shit, you understand that? Full of shit"
መናገር አለመቻል ከማይናገርበት ሰው ጋር አንድ አይደለም,Not being able to speak is not the same as not speaking
ሰዎች ማውራት የሚወዱትን እንዲናገሩ እንዲናገሩ እፈቅዳለሁ,I let people talk who like to talk
ማወቅ ቀላል ያደርገዋል እነሱ ምን ያህል ተሞልተዋል,It makes it easier to find out how full of shit they are
ሰዎች እንዲናገሩ ፈቅጃለሁ,I let people to talk
ስለዚህ አንድ ሰው የተሞላው ሰው?,So l'm the one full of shit?
ሁለታችንም በሃይት ተሞልተናል,We both full of shit
እርስዎ በተሞሉ ነው,You full of shit
ከእኔ በቀር ማንም አያደርግም,Don't nobody do that but me
"አህያዎን እንድታለል ትፈልጋለህ, አንቺ አይደል?","You want me to kick your ass, don't you?"
ቆንስሎ ሀን ወዲያውኑ እንዳየሁ ውሰደኝ,Take me to see Consul Han right away
"ሰው, እዚያ ቁጭ ይበሉ እና ይዝጉ. ይህ ዲሞክራሲ የለም","Man, just sit there and shut up. This ain't no democracy"
"አዎ ነው። ኖ, አይደለም","Yes, it is. No, it ain't"
ይህ አሜሪካ ነው የጄምስ ካርተር አሁን,This is the United States of James Carter now
"እኔ ፕሬዝዳንቱ ነኝ, እኔ ንጉሠ ነገሥቱ እኔ ንጉስ ነኝ","I'm the president, I'm the emperor, I'm the king"
"እኔ ሚካኤል ጃክሰን, እርስዎ ነዎት, ታት","I'm Michael Jackson, you Tito"
አህያዎ የእኔ ናችሁ,Your ass belong to me
ለምን የእኔን እርዳታ አይፈልጉም?,Why would they not want my help?
ምክንያቱም ግድያ አይሰጡም ስለእናንተ,Because they don't give a damn about you
እነሱ አይወዱም. አንተ አልወደድሽም,They don't like you. l don't like you
ምንም መስሎ አይሰማኝም። እኔ እዚህ ሴት ልጅ ነኝ,I don't care. I'm here for the girl
ልጅቷ አልወደድሽም. ማንም አይወድዎትም,The girl don't like you. Nobody likes you
እዚህ ሁሉ የመጣው በከንቱ መጣህ. እርስዎ ሊሆኑ አይችሉም,You came all the way over here for nothing. You ain't gonna be
ሰው ዘማሪንግ በሬዲዮ በ ቤይ,At Waimea Bay
"ኦህ, ሲኦል, አይሆንም","Oh, hell, no"
የእኔን የአማልክልሞን ሬዲዮ ብቻ አልነካቸውም,You didn't just touch my goddamn radio
የባህር ዳርቻ ወንዶች ልጆች ታላቁ የአሜሪካ ሙዚቃ ናቸው,The Beach Boys are great American music
የባህር ዳርቻው ወንዶች ልጆች ያገኙዎታል ታላቅ አህያ,The Beach Boys'll get you a great ass whooping
"በጭራሽ አይነኩም ጥቁር ሰው ሬዲዮ, ልጅ","Don't you ever touch a black man's radio, boy"
"በቻይና ውስጥ ያንን ማድረግ ይችላሉ ግን እርስዎ ያገኛሉ ሰው ሆይ, አህያዎን እዚህ ተገደሉ","You can do that in China but you'll get your ass killed out here, man"
እውነተኛ ሙዚቃ ላሳይዎት,Let me show you real music
አዎ. ያ እውነተኛ ሙዚቃ ነው. ይህን ትሰማለህ?,Yeah. That's real music. You hear that?
ሰው ከእኔ ጋር ጩኸት ከእኔ ጋር ይራመኛል,MAN SINGlNG Bounce with me Bounce with me
ሴት ራይዝ እርስዎ ሀብታም ይሁኑ ግን ያንን ያበራሉ,You ain't gotta be rich but bump that
እንዴት እንመጣለን በአውቶቡስዎ ማለፍዎ ላይ?,How we gonna get around On your bus pass?
ይህንን በችኮላሽዎ ላይ አስገባ,'Fo l put this on your mustache
ሊከፍሉኝ ይችላሉ? የሰራዎቼ ዳቦ መጋዘን?,Can you afford me My homies breadwinners?
አሁን በባህር ዳርቻው ወንዶች ልጆች ያንን ማድረግ ይችላሉ?,Now can you do that to the Beach Boys?
በባህር ዳርቻው ወንዶች ልጆች ላይ ማድረግ ይችላሉ?,Can you do that to the Beach Boys?
"ተነስቶ ተነስ, ውጣ, የተወሰኑትን ያግኙ","Better get up, get out, get some"
ልክ እንደ ብዙ ፕራዳ,l like a lot of Prada
ወደ ቆንስላው መድረቅ አለብኝ. እዚህ ምን እያደረግን ነው?,I must get to the consulate. What are we doing here?
የሚባለው አንድ ሻካራ ተብሎ ይጠራል. በጣም ከባድ የፖሊስ ሥራ,It's called a shakedown. Very serious police work
በቃ ንግዶዬን ትይዛለሁ እና ቦታውን ይቆጣጠሩ,Just watch me handle my business and control the space
በምርመራው ላይ እገዛ እፈልጋለሁ,I want to help with the investigation
የእኔ ጉዳይ ነው,This is my case
"ጉዳይህ? እነሆ, ልትነሱኝ ይችላሉ","Your case? Look, you can back me up"
"ወደዚህ ስንገባ, እኔ ዓመቴን ትከተላለህ እና ምን እንደሚያደርጉ ያድርጉ. እሺ?","When we get in here, you follow my lead and do what l do. Okay?"
የእኔ ምንድን ነው? እንደአት ነው፧,"What's up, my nigga? What's up?"
ይህ አረም? ምንድን ነው?,ls this weed? What?
ለዚህ ማዘዣ ታዛዥ ነዎት? የት አለ?,You got a prescription for this? Where is that?
"ኡህ, ወዴት? የት?","Uh, uh, where? Where?"
አህያዎን እስር ቤት መውሰድ አለበት. ለምንድነው፧,l should take your ass to jail. For what?
ለምንድነው፧ ይህንን ይመልከቱ!,For what? Look at this!
አንድ የሲጋራ አይደለም. ይህ ሲጋራ አረም!,That's nothing but a cigarette. This ciga weed!
እሱ ሲጋራ ይመስላል,It look like a cigarette
ግላኮማ ይሻላል. በጭራሽ,You better have glaucoma. l do
"ካርተር ምንድን ነው, የእኔ ናጌጋ ምንድነው?","What's up, my nigga?"
"ሄይ, ሄይ, ያንን ፍተሻ, ህፃን","Hey, hey, check that, baby"
"ምን እየተከሰተ ነው, ካርተር?","What's happening, Carter?"
ጠመንጃዎቹን ወደታች ያኑሩ. ጠመንጃዎቹን ወደታች ያስገቡ!,Put the guns down. Put the guns down!
"እዚያ, የአምልኮ ማቆሚያ ጠመንጃውን ወደታች ያስገቡ","MC Hammer there, put the goddamn gun down"
"የተወሰኑ ጥያቄዎችን አገኘሁ, እና የተወሰኑ መልሶች እፈልጋለሁ","I got some questions, and l need some answers"
እነሱን ዝቅ ያድርጉ. ወደታች. ልጅቷ,Put them down. Down. Where the girl?
እንዴት ነው? ትንንሽ ልጅ,What girl? The little girl
ስለ ቻይንኛ ልጃገረድ ምንም አያውቅም. እንደማያውቁት አይሆኑም,Don't know nothing about no Chinese girl. Don't act like you don't know
አህያዎን እወስዳለሁ መልስ የማይሰጥ ከሆነ,I'll take your asses in if l don't get answers
ጠመንጃውን ወደታች ያስገቡ. እኔን እንደምታውቁ አይመስለኝም,"Carter, put the gun down. Don't act like you know me"
እዚህ ምን እየሆነ እንዳለ አይቻለሁ. እንደ ሞኝ እኔን ለመጫወት እየሞከረ ነው,I see what's going on here. Y'all trying to play me like a fool
"ሁሉም መብት, ሊ, ከእውነተኛ ፈጣን ወደ ውጭ ይሂዱ. እዚህ ውስጥ ትንሽ አደገኛ ነው","All right, Lee, go outside real quick. It's gonna get a little dangerous in here"
"ምናልባት ምናልባት ሊኖረው ይችላል ሂድ, ሂድ እና አሞሌውን ጠብቅ","l may have ques Lee, go and wait by the bar"
የነገርኳችሁን አስታውስ? ተመለስኩኝ. ወደ ውጭ ወጣ. ሁሉንም ነገር ይንከባከባል,Remember what I told you? Back me up. Go outside. l'll take care of everything
"እርግጠኛ ነዎት? እርግጠኛ ነኝ. አሁን, አሁን ይሂዱ","You're sure? l'm sure. Now, go on now"
መጫወት አስብ?,Think l'm playing?
እዚህ እዚህ. በንግድዬ ውስጥ አይወጣም,Come here. Don't come up in my business
".... እኔ እንደዚያ አድርገኝ. አምላኪ. ገና እየተጫወተ ነበር. ሰው, እቅፍ ስጠኝ","...scaring me like that. Goddamn. l was just playing. Man, give me a hug"
"ሩኪኪውን ትምህርት ቤት, ገመዶቹን ማሳየት","Schooling the rookie, showing him the ropes"
ወደ ቤተክርስቲያን ለምን አልመጡም?,Why you didn't come to church Sunday?
እኔ ለመንከባከብ አንዳንድ ነገሮች ነበሩኝ,I had some things to take care of
ግን ሌሊቱን አገልግሎት ጀመርኩ,But l made the night service
ይህ ሰው ማን እየገዛ መሆኑን ማወቅ አለብኝ እነዚህ ሁሉ ፍንዳታዎች እና መሣሪያዎች,I need to know who this guy is buying up all these explosives and weapons
"ስለዚያ ልጅ ስለዚያ ምንም አታውቅም. ሉክ. እነሆ, ሰው ሆይ, የምታደርጉትን አውቃለሁ","l don't know nothing about that, baby. Luke. Look, man, I know what you do"
"እኔ የወሰድኩት ምክንያት ብቻ ነው ምክንያቱም የአጎቴ ልጅ, እና የአክስቴን ቡትስ ይገድላል","Only reason why I ain't busted you because you my cousin, and it'd kill Aunt Bootsy"
"በዚህ ጊዜ ውስጥ የሚበቅለው ቡትስ እንዴት ነው? ክ, መጫወት አልፈልግም","Why you gonna put Aunt Bootsy in this? Luke, I ain't playing"
"መጥፎ ልብ እንዳላት አውቃለሁ, ግን ከሌለ, አህያዎን ያበራል","I know she got a bad heart, but if l have to, l'll bust your ass"
የሆነ ነገር ንገረኝ,Tell me something
በቻናታ ከተማ ውስጥ ያለው ቃል በከተማ ውስጥ ይህ አዲስ ዱዳ አለ,The word down in Chinatown is there's this new dude in town
መጥፎ አህያ ከሆንግ ኮንግ ውጭ እያንዳንዱን አምላኪ ነገር መግዛት,Bad ass dude out of Hong Kong buying up every goddamn thing
የስሙ ማን ነው? አላውቅም። እሱ ከእኔ ውስጥ ሹት አይገዛም,What's his name? Don't know. He ain't buying shit from me
ስሙን አታውቅም? አይ።,You don't know his name? No
ስሙን ማንም አያውቅም,Nobody know his name
ወደዚህ ና! አፍዎን በተሻለ ይመለከታሉ!,Come here! You better watch your mouth!
"የምትናገረው ነገር, ልጅ?","What you say, boy?"
ችግር አልፈልግም,I don't want trouble
አባክሽን። ችግር አልፈልግም አልኩ,Please. I said I don't want trouble
ያ ለእርስዎ መጥፎ ነው,That's bad for you
ትንሽ ልጅ? ትንሽ ልጅ?,Where the little girl? What little girl?
ካርተር ስለ ምን ዓይነት ልጅ እንደሚናገር ታውቃለህ,You know what girl l'm talking about
በተሻለ ትወስዳለህ አምላካችሁ ክምችትዎ ከጉዳዩ ውጭ እጆችዎ,You better take your goddamn hands off my suit
እማማ ለገና በዓል ይህንን ገዛኝ. ይህ የእኔ ተወዳጅ ልብስ ነው. አሁን ልሂድ,"Your mama bought me this for Christmas. This is my favorite suit. Now, let me go"
"ምስጋናዎን አያለሁ, እሺ? አድንቀህ","I'll see you Thanksgiving, all right? Appreciate it"
"ሄይ, ሄይ! ትልቅዎን ያግኙ መልካም ምግብ አህያ","Hey, hey! Get your big Happy Meal ass over!"
ጥግ ላይ ተሻሽ! እኔ አሁንም እዚህ ህጉ ነኝ!,Get over in the corner! I'm still the law around here!
"በሚቀጥለው ጊዜ እኔ እመጣለሁ, ይህንን በተሻለ ሁኔታ ያፅዱ!","Next time l come here, y'all better clean this up!"
እና ጥርሶችዎን ብሩሽ!,And brush your teeth!
ምን እያደረግን ነው? አንድ ነገር የሚበላው ነገር አገኘሁ,What are we doing? l'm getting something to eat
"ማንኛውንም ነገር ትፈልጋለህ, እንደ ጽዋ አለቃዎች ወይም አንድ ነገር?","You want anything, like a Cup O'Noodles or something?"
"ካርተር, ጊዜዬን ማባከን አቁም. ለ ቃል ገባሁ","Carter, stop wasting my time. I made a promise to Soo Yung"
ትክክል ነህ. ጊዜዎን እያባክን ነበር,You're right. I have been wasting your time
አዝናለሁ። ብቻ ፍቀድልኝ እዚህ ይግቡ እና የሚበላው ነገር ያግኙ,I'm sorry. Just let me go in here and get something to eat
"ወደ ውጭ ስመለስ, የት መሄድ በፈለጉበት ቦታ ሁሉ. እሺ?","When I come back out, l'll take you wherever you want to go. Okay?"
መልኩ. በዚህ ላይ?,Okay. Shake on it?
ምን እየሰራህ ነው፧,What are you doing?
አንድ ብቻ አይደለም በፍጥነት እጆችዎ ነዎት? ዋህ,"You ain't the only one with quick hands, are you? Wah"
ወደኋላ እመለሳለሁ,I'll be right back
"ሄይ, ወንድ, ላኩ የበሬ ሥጋ እና ባቄሪ ቡሪቶ","Hey, man, l got you a beef and bean burrito"
እኛ የታክሲ እና ቀርበናል,We have a taxicab approaching
አንድ ሰው እየወጣ ነው. እስያ ወደ ገደማ,A man stepping out. Asian. About '
አንድ ሰው ወደ በር ሲቀርብ ገባን. በ ጠፍቷል,We've got someone approaching the gate. Dropped off by a cab
ተስተካክለው. መተርጎም,Tell them to intercept. lntercept
እኛ እንገናኛለን,We will intercept
ሊረዳዎት ይችላል?,Can l help you?
አዎ። ነጩን ማየት አለብኝ. ምን?,Yes. I must see the consul. About what?
"እባክዎን, በጣም አስፈላጊ ነው","Please, it's very important"
ለምን እንደሆነ ለምን አይነግሩንም? ካውንሱን ማየት ይፈልጋሉ?,"Why don't you tell us why you need to see the consul, huh?"
አስፈላጊው አስፈላጊ እንደሆነ እንነግርዎታለን. መታወቂያ አለህ?,We'll tell you whether it's important. Do you have identification?
ከራስዎ በላይ እጆች!,Hands above your head!
ስለ ሴት ልጅ ጠየቀችው. ስለ ሴት ልጅ ጠየቀችው,He asked about the daughter. He asked about the daughter
አይንቀሳቀስ! ጠመንጃዎን ይጥሉ,Don't move! Throw your gun away
እሱ ይገድላቸዋል. ሁሉንም ነገር ትክክል ነው?,WHlTNEY He's gonna kill them. ls everything all right?
ወለል በሁለተኛው ፎቅ ላይ ደህና ትሆናለህ,WHlTNEY You'll be safer on the second floor
አዝናለሁ። ስለዚህ ጉዳይ አዝናለሁ,I'm sorry. I'm sorry about this
እሱ መሬት ላይ ነው! በል እንጂ!,He's on the grounds! Come on!
"ከመስኮቱ ራቁ, አባክሽን። እዚህ በቀጥታ","WHlTNEY Stay away from the window, please. Right here"
ውረድ! አሁን!,Get down! Now!
በ ሚስተር ሩስ. አስባለሁ አለመግባባት አለ,IN ENGLlSH Mr. Russ. l think there has been a misunderstanding
ትክክል ነው. ደህና ነው,It's all right. lt's okay
እሱ ነው. ከቻይና የመጣ ሰው,It's him. The guy from China
"ምንድን ነው? እባክዎን,","What? Come in, please"
እኔ እንድገናኝ እፈልጋለሁ መርማሪ ተቆጣጣሪ,l would like you to meet Detective Inspector Lee
በጣም ይቅርታ,Excuse me very much
ሲኦል የት ነው?,Where the hell is Carter?
ከዚያ ከዚህ ጋር እንደገና ተገናኝቷል,Then l gotta put up with this
ትንሽ የእስያ ዱዳ አየ ስለዚህ ቁመት,Seen a little Asian dude about this height
በክንዱ ላይ በሚሠራው መሪ?,with a steering wheel on his arm?
እራስዎን ይንከባከቡ,Go screw yourself
ምን ይላሉ? እራስዎን ይንከባከቡ,What you say? l said go screw yourself
ትንሽ ስሜታዊ አህያዎን ይውሰዱ እዚያ ወደ ላይ እና እስቲ ገባኝ! ከመንገዱ ውጭ!,Take your little sensitive ass up there and let me in! Out of the way!
እኔን እንድነሳ ያደርገኛል! ይህ በ ውስጥ,Don't make me get up! Let this putz in
"ሰው, እዚህ, ወደ ውስጥ ስገባ, አንድ ሰው በጥይት ተመታሁ. ያንን አይጫወቱ","Man, when I get up in here, I'm slapping somebody. l don't play that"
ሩሲ ምን ሆነ?,"What happened, Carter?"
ካርተር ከአውቶቡሶች ውጭ ለመዝለል ሥራዬ አይደለም!,It ain't my job to be jumping off of buses!
ሃን ይህ ሰው ማን ነው?,Who is this man?
እሱ የማያውቅ አይደለም ሥራችንን አከናውን,He's upset that we have not done our job
እኔ እና ሊኔ ሁኔታውን እየተንከባከቡ ነው. እኛ ሁሉንም ነገር በቁጥጥር ስር አለን,Me and Lee are taking care of the situation. We have everything under control
ሴት ልጅዎን እንመለሳለን ደህና እና ድምጽ,We'll get your daughter back safe and sound
እሱ በጣም ጥልቅ ፍቅር ነው ልጅዎን ስለማግኘት,He is very passionate about finding your daughter
ሃን ምስጋናዬን ዕዳ አለብኝ,I owe you my gratitude
የመለዋወጫ ሚዳን እንፈልጋለን ከሁለተኛው ወንዶቹ መካከል አንዱ ከጎኑ ሁል ጊዜ,We wanted Detective Lee to have one of our best men by his side at all time
"ወኪል ሩሲ, ምናልባት ይህ ጥሩ ጊዜ ነው የተሰጠኝ ሥራዎችን ዝርዝር ለ ይንገሩ","Agent Russ, maybe this is a good time to tell the consul the details of my assignment"
"ካርተር, እኔ ልነግርህ እችላለሁ ለጊዜው?","Carter, can I speak to you for a moment?"
እኔን ማነጋገር ትፈልጋለህ? ለጊዜው? የግል?,You wanna speak to me? For a moment? ln private?
"ኦህ, እዩ. ይህ ይመደባል","Oh, l see. This must be G classified"
በአንድ ሰከንድ እንነጋገራለን.,We'll talk in a second. G
በሚመጣበት ጊዜ ፍቅር. ሰው በስልክ በላይ ሰላም?,l love when a G comes around. MAN OVER PHONE Hello?
ማነው ይሄ፧ ሀሎ፧,Who's this? Hello?
ከ ጋር መናገር አልችልም?,Am l speaking with FBl?
"ልጅቷ በሕይወት እንድትመለስ ከፈለግክ, ያዳምጡ እና አይነጋገሩ","If you want the girl back alive, listen and do not talk"
"እሺ, እዳኝ. ብዕር ላገኝ","Okay, l'm listening. Let me get a pen"
ደህና። ጥሩ።,All right. Cool
መቋረጡ ዛሬ ማታ ይከናወናል. አሥራ አንድ .,The drop will be made tonight. Eleven p.m
መጠኑ ሚሊዮን ዶላር ይሆናል,The amount will be million
ሃምሳ ሚሊዮን ዶላር? ማንን ያስባሉ ታፍነው ቼልሲ ክሊንተን?,"Fifty million dollars? Who you think you kidnapped, Chelsea Clinton?"
እሱን እንዲናገር ያቆዩት. ያገለገለው ምንዛሬ,Keep him talking. In used currency
ከ የሚበልጥ ነገር የለም,Nothing bigger than a
"ደህና። አሪፍ, አሪፍ, አሪፍ. ሃምሳ ሚሊዮን ዶላር. ችግር የሌም።","All right. Cool, cool, cool. Fifty million dollars. No problem"
በ ሚሊዮን ውስጥ ሚሊዮን እፈልጋለሁ,I want million in
በ ዎቹ ውስጥ ሃያ ሚሊዮን,Twenty million in s
እና ሚሊዮን በ ውስጥ,and million in
እና ሚሊዮን በ,And million in s
ከእዚያ ጋር ማንኛውንም ጥብስ ይፈልጋሉ?,You want any fries with that?
ስምህ ማን ነው,What is your name?
የእርስዎ ምንድነው? ጠራህ. ስሜን ለምን ማወቅ ይፈልጋሉ?,What's yours? You called us. Why you wanna know my name?
መናገር መቻል እፈልጋለሁ ተጠያቂው ሃላፊው,I want to be able to tell the consul who is responsible
ለልጁ ሞት ምክንያቱም በጣም ብዙ ይናገራል,for his daughter's death because he talk too much
"እሺ, እነሆ, ሰው. አዙር. ተረጋጋ።","All right, look, man. Hold up. Calm down"
እኔን ለማዞር እየሞከርኩ ነው. እኔ ከጎንዎ ነኝ,I'm trying to hook you up. I'm on your side
ስኬታማ ከሆነ ልጅቷ በሕይወት ትኖራለች,"If it is successful, the girl will live"
ገንዘቡን ማግኘቴን እርግጠኛ ነኝ. ሲያገኙ አብረን ማጥራት እንችላለን,I'm gonna make sure you get the money. We can spend it together when you get it
እኔ አልፈልግም በእውነቱ ለእነርሱ ሥራም ይሠራል,because I don't even really work for them
አገኘነው. ደቡብ ብሮድዌይ. መሃል ከተማ,We got it. South Broadway. Downtown
"ዘዴው አንድ ሰው, ወደ ታች ይቀጥሉ ኛ ወደ ኛ እና ብሮድዌይ","Tactical team one, proceed down th to th and Broadway"
"ቡድን ሁለት, እፈልግሻለሁ ጀርባው ኛ እና በዋና ዋና","Team two, I want you around the back on th and Main"
አሠራር ያዘጋጁ,Set up a perimeter
ወለል ቡድንዎን ይውሰዱ እና ህንፃውን ይሸፍኑ,WHlTNEY Take your team and cover the building
ወለል በወለል ወደ ላይኛው በኩል ወደ አናት. ውሰድ,floor by floor all the way to the top. Move
ኋላ ያላቸው ሁለት ሰዎች. ወደ ህንፃው መሄድ የለባቸውም,Two men around back. They must not go into the building
"አዎ, ትክክል ነዎት. ቀኝ። እንነግራቸው. በል እንጂ።","Yeah, you right. Right. Let's go tell them. Come on"
ወለል ጥግ ላይ ቦታዎችን ይያዙ,WHlTNEY Take positions on the corner
"ሚስተር ሩስ, ሰዎችን መልሰው መጎተት አለብዎት","Mr. Russ, you must pull your men back"
እዚህ ምን እያደረጉ ነው? ካርተር የት ነው?,What the hell are you doing here? Where's Carter?
"እባክህን, ስማኝ. ሚስተር ሊ","Please, listen to me. Mr. Lee"
"እርስዎ በጣም ብቁ ሊሆኑ ይችላሉ, ግን ተራ እውነታ","you may be very competent, but the mere fact"
